OBJECTID,SSL,LAND_USE_CODE,LAND_USE_DESCRIPTION,LANDAREA,PROPERTY_ADDRESS,OWNER_NAME_PRIMARY,APPRAISED_VALUE_PRIOR_LAND,APPRAISED_VALUE_PRIOR_IMPR,APPRAISED_VALUE_PRIOR_TOTAL,APPRAISED_VALUE_PROPOSED_LAND,APPRAISED_VALUE_PROPOSED_IMPR,APPRAISED_VALUE_PROPOSED_TOTAL,APPRAISED_VALUE_CURRENT_LAND,APPRAISED_VALUE_CURRENT_BLDG,VACANT_USE,HOMESTEAD_CODE,HOMESTEAD_DESCRIPTION,TAX_TYPE_DESCRIPTION,TAXRATE,MIXED_USE,OWNER_OCCUPIED_COOP_UNITS,LAST_SALE_PRICE,LAST_SALE_DATE,DEED_DATE,CURRENT_ASSESSMENT_CAP,PROPOSED_ASSESSMENT_CAP,OWNER_NAME_SECONDARY,ADDRESS_ID,LASTMODIFIEDDATE,APPRAISED_VALUE_CURRENT_TOTAL
4165,5094    0031,091,Vacant-True,3000,HUNT ST NE WASHINGTON DC 20019,UNITED STATES OF AMERICA,44160,0,44160,44160,0,44160,44160,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,44160,44160,,,1/27/2023 8:03:12 AM,44160
4166,5828    0029,091,Vacant-True,1782,2301 ELVANS RD SE WASHINGTON DC 20020-3545,"PALUMBO, CHRISTOPHER",87230,0,87230,133510,407920,541430,130010,0,YES,1,HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,655555,5/25/2022 12:00:00 AM,5/25/2022 12:00:00 AM,130010,462730,"PALUMBO, DOMENICK",330695,1/27/2023 8:03:12 AM,130010
4167,0658    0812,091,Vacant-True,55791,113 POTOMAC AVE SW WASHINGTON DC 20024-2909,QOZB IA LLC,5453000,0,5453000,5453000,0,5453000,5453000,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,41000000,8/27/2019 12:00:00 AM,8/27/2019 12:00:00 AM,5453000,5453000,,,1/27/2023 8:03:12 AM,5453000
4168,1122    0801,191,Vacant-True,81957,SE WASHINGTON DC 00000,UNITED STATES OF AMERICA,1983360,0,1983360,1983360,0,1983360,1983360,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1983360,1983360,,,1/27/2023 8:03:12 AM,1983360
4169,2976    0808,093,Vacant-Zoning Limits,63,9TH ST NW WASHINGTON DC 20012,"WYE, CHRIS",1830,0,1830,1830,0,1830,1830,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,485500,8/5/2013 12:00:00 AM,8/5/2013 12:00:00 AM,1830,1830,"WYE, JONATHON",,1/27/2023 8:03:12 AM,1830
4170,0693    0841,191,Vacant-True,2596,SOUTH CAPITOL ST SE WASHINGTON DC 20003,NATIONAL RAILROAD PASSENGER CORP,618810,0,618810,618810,0,618810,618810,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,618810,618810,,,1/27/2023 8:03:12 AM,618810
4171,5273    7010,191,Vacant-True,0,EAST CAPITOL ST NE WASHINGTON DC 20019,DISTRICT OF COLUMBIA HOUSING AUTHORITY,518220,0,518220,518220,0,518220,518220,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,518220,518220,,,1/27/2023 8:03:12 AM,518220
4172,5875    0041,191,Vacant-True,1149,12TH PL SE WASHINGTON DC 20020,PARKWAY OVERLOOK II LP,87660,0,87660,87660,0,87660,87660,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,7400000,2/8/2018 12:00:00 AM,2/8/2018 12:00:00 AM,87660,87660,,,1/27/2023 8:03:12 AM,87660
4173,5093    0800,093,Vacant-Zoning Limits,1800,GAULT PL NE WASHINGTON DC 20019,UNITED STATES OF AMERICA,26300,0,26300,26300,0,26300,26300,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,26300,26300,,,1/27/2023 8:03:12 AM,26300
4174,6249    0857,091,Vacant-True,1494,SOUTHERN AVE SE WASHINGTON DC 20032,JOHENNING BAPTIST CHURCH,5530,0,5530,5530,0,5530,5530,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,12/15/1998 12:00:00 AM,12/15/1998 12:00:00 AM,5530,5530,,,1/27/2023 8:03:12 AM,5530
4175,2893    0119,092,Vacant-With Permit,1808,3302 GEORGIA AVE NW WASHINGTON DC 20010-2513,MD HOMES 3302 GEORGIA AVE LLC,316950,605210,922160,1350000,0,1350000,316950,466030,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,1500000,9/14/2021 12:00:00 AM,9/14/2021 12:00:00 AM,782980,1350000,,233022,1/27/2023 8:03:12 AM,782980
4176,5348    0015,091,Vacant-True,1853,57 49TH ST SE WASHINGTON DC 20019,49TH STREET DEVELOPER LLC,0,0,0,131620,0,131620,125230,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,10/22/2021 12:00:00 AM,10/22/2021 12:00:00 AM,125230,131620,,331405,1/27/2023 8:03:12 AM,125230
4177,0948    0803,191,Vacant-True,12823,PENNSYLVANIA AVE SE WASHINGTON DC 20003,UNITED STATES OF AMERICA,3630700,0,3630700,3630700,0,3630700,3630700,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,3630700,3630700,,,1/27/2023 8:03:12 AM,3630700
4178,3648    1115,092,Vacant-With Permit,1300,417 BROOKLAND GROVE DR NE WASHINGTON DC 20017,DRP DC 1 LLC,111700,0,111700,154270,0,154270,154270,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,12000000,3/4/2021 12:00:00 AM,3/4/2021 12:00:00 AM,154270,154270,,,1/27/2023 8:03:12 AM,154270
4179,3706    0805,091,Vacant-True,29894,NE WASHINGTON DC 00000,UNITED STATES OF AMERICA,226900,0,226900,261270,0,261270,234670,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,234670,261270,,,1/27/2023 8:03:12 AM,234670
4180,5877    1094,092,Vacant-With Permit,1056,2446 JAMES BANKS RD SE WASHINGTON DC 20020-3747,"WEAVER, MICHAEL",34120,0,34120,120520,344070,464590,34120,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,560980,5/3/2022 12:00:00 AM,5/3/2022 12:00:00 AM,34120,464590,,317269,1/27/2023 8:03:12 AM,34120
4181,PAR 00880257,191,Vacant-True,2593,QUACKENBOS ST NW WASHINGTON DC 20011,UNITED STATES OF AMERICA,169430,0,169430,169430,0,169430,169430,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,169430,169430,,,1/27/2023 8:03:12 AM,169430
4182,4303    0002,091,Vacant-True,4078,NE WASHINGTON DC 00000,UNITED STATES OF AMERICA,52400,0,52400,52400,0,52400,52400,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,52400,52400,,,1/27/2023 8:03:12 AM,52400
4183,PAR 01340115,195,Vacant-Commercial Use,47794,TAYLOR ST NE WASHINGTON DC 20017,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),2775880,0,2775880,2775880,0,2775880,2775880,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,2775880,2775880,,,1/27/2023 8:03:12 AM,2775880
4184,3712    0069,091,Vacant-True,2505,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,19010,0,19010,21890,0,21890,19660,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,19660,21890,,,1/27/2023 8:03:12 AM,19660
4185,5867    0200,091,Vacant-True,4900,2641 MARTIN LUTHER KING JR AVE SE WASHINGTON DC 20,DISTRICT OF COLUMBIA,31160,0,31160,31160,0,31160,31160,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,7/21/2010 12:00:00 AM,7/21/2010 12:00:00 AM,31160,31160,,,1/27/2023 8:03:12 AM,31160
4186,5861    0901,191,Vacant-True,448,HOWARD RD SE WASHINGTON DC 20020,DISTRICT OF COLUMBIA,35450,0,35450,35450,0,35450,35450,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,35450,35450,,,1/27/2023 8:03:12 AM,35450
4187,5145    0037,091,Vacant-True,2488,FOOTE ST NE WASHINGTON DC 20019,UNITED STATES OF AMERICA,55830,0,55830,55830,0,55830,55830,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,55830,55830,,,1/27/2023 8:03:12 AM,55830
4188,3712    0829,091,Vacant-True,9988,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,75810,0,75810,87300,0,87300,78410,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,78410,87300,,,1/27/2023 8:03:12 AM,78410
4189,0274    0804,093,Vacant-Zoning Limits,561,TEMPERANCE CT NW WASHINGTON DC 20009,BACK LOT PARTNERS LP,9160,0,9160,9160,0,9160,9160,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,1000000,5/31/2013 12:00:00 AM,5/31/2013 12:00:00 AM,9160,9160,,,1/27/2023 8:03:12 AM,9160
4190,3260    0816,093,Vacant-Zoning Limits,100,NW WASHINGTON DC 00000,"HANCOCK, MARGARET B",1740,0,1740,1740,0,1740,1740,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,3/8/2016 12:00:00 AM,3/8/2016 12:00:00 AM,1740,1740,"HANCOCK, MICHEAL B",,1/27/2023 8:03:12 AM,1740
4191,3648    1086,092,Vacant-With Permit,924,459 ALTEZZA DR NE WASHINGTON DC 20017,DRP DC 1 LLC,79390,0,79390,145190,0,145190,145190,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,12000000,3/4/2021 12:00:00 AM,3/4/2021 12:00:00 AM,145190,145190,,,1/27/2023 8:03:12 AM,145190
4192,2950    0951,092,Vacant-With Permit,762,ASPEN ST NW WASHINGTON DC 20012,DISTRICT OF COLUMBIA,0,0,0,143900,0,143900,143900,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,143900,143900,,,1/27/2023 8:03:12 AM,143900
4193,5793    0810,091,Vacant-True,1860,2224 CHESTER ST SE WASHINGTON DC 20020-5704,"CREWS, TONY",135480,0,135480,139260,0,139260,137530,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,59000,11/30/2017 12:00:00 AM,11/30/2017 12:00:00 AM,137530,139260,,,1/27/2023 8:03:12 AM,137530
4194,1053    0031,093,Vacant-Zoning Limits,1186,417 14TH ST NE WASHINGTON DC 20002,"MCCULLOCH, MARGARET A",128430,0,128430,146700,0,146700,131800,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,7/26/2013 12:00:00 AM,7/26/2013 12:00:00 AM,131800,146700,"MCCULLOCH, ROBERT F",,1/27/2023 8:03:12 AM,131800
4195,0578    0809,191,Vacant-True,3593,SW WASHINGTON DC 00000,UNITED STATES OF AMERICA,4296870,0,4296870,4296870,0,4296870,4296870,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,4296870,4296870,,277699,1/27/2023 8:03:12 AM,4296870
4196,5755    0837,091,Vacant-True,2464,W ST SE WASHINGTON DC 20020,RESIDENTIAL REDEVELOPMENT LLC,0,0,0,145720,0,145720,114190,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,114190,145720,,,1/27/2023 8:03:12 AM,114190
4197,1515    0022,093,Vacant-Zoning Limits,2000,UNIVERSITY AVE NW WASHINGTON DC 20016,"WEE, CAROLINE",6520,0,6520,6520,0,6520,6520,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,7/20/2021 12:00:00 AM,7/20/2021 12:00:00 AM,6520,6520,"WEE, ASBJORN",,1/27/2023 8:03:12 AM,6520
4198,3760    0890,092,Vacant-With Permit,820,32 MURAL WALK NE WASHINGTON DC 00000,FORT TOTTEN SOUTH LLC,60200,0,60200,245430,0,245430,235990,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,235990,245430,,,1/27/2023 8:03:12 AM,235990
4199,0693    0847,191,Vacant-True,11935,SOUTH CAPITOL ST SE WASHINGTON DC 20003,UNITED STATES OF AMERICA,3379280,0,3379280,3379280,0,3379280,3379280,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,3379280,3379280,,,1/27/2023 8:03:12 AM,3379280
4200,3189    0804,093,Vacant-Zoning Limits,1980,DAHLIA ST NW WASHINGTON DC 20012,"GREEN, SARA",21580,0,21580,21580,0,21580,21580,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,21580,1/24/2008 12:00:00 AM,1/24/2008 12:00:00 AM,21580,21580,"HOLZSAGER, RICHARD",,1/27/2023 8:03:12 AM,21580
4201,3177    0035,093,Vacant-Zoning Limits,801,GERANIUM ST NW WASHINGTON DC 20012,"JONES, RICHARD T",7670,0,7670,7670,0,7670,7670,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,7670,7670,,,1/27/2023 8:03:12 AM,7670
4202,0825    0870,093,Vacant-Zoning Limits,7837,4TH ST SE WASHINGTON DC 20003,DISTRICT OF COLUMBIA HOUSING AUTHORITY,1000,0,1000,1000,0,1000,1000,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,1000,1000,,,1/27/2023 8:03:12 AM,1000
4203,1459    0825,093,Vacant-Zoning Limits,388,ROCKWOOD PKWY NW WASHINGTON DC 20016,"MCKEE, WILLIAM",520,0,520,520,0,520,520,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,520,520,"MCKEE, BEVERLY",,1/27/2023 8:03:12 AM,520
4204,3648    1120,092,Vacant-With Permit,1300,405 BROOKLAND GROVE DR NE WASHINGTON DC 20017,DRP DC 1 LLC,111700,0,111700,154270,0,154270,154270,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,12000000,3/4/2021 12:00:00 AM,3/4/2021 12:00:00 AM,154270,154270,,,1/27/2023 8:03:12 AM,154270
4205,6003E   0037,093,Vacant-Zoning Limits,2185,RALEIGH ST SE WASHINGTON DC 20032,H & B ASSOCIATES,45260,0,45260,45260,0,45260,45260,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,45260,45260,,,1/27/2023 8:03:12 AM,45260
4206,5828    0026,091,Vacant-True,2009,1503 ERIE ST SE WASHINGTON DC 20020,1501 ERIE STREET CONSTRUCTION LLC,130890,0,130890,136690,0,136690,132860,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,132860,136690,,319280,1/27/2023 8:03:12 AM,132860
4207,5080    0800,091,Vacant-True,117747,NE WASHINGTON DC 00000,UNITED STATES OF AMERICA,827760,0,827760,827760,0,827760,827760,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,827760,827760,,,1/27/2023 8:03:12 AM,827760
4208,4079    0263,191,Vacant-True,3687,RAUM ST NE WASHINGTON DC 20002,DISTRICT OF COLUMBIA,187370,0,187370,187370,0,187370,187370,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,187370,187370,,,1/27/2023 8:03:12 AM,187370
4209,2863    0845,091,Vacant-True,750,1020 FAIRMONT ST NW WASHINGTON DC 20001,JOVIAN LLC,5180,0,5180,5180,0,5180,5180,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,10000,3/5/2019 12:00:00 AM,3/5/2019 12:00:00 AM,5180,5180,,,1/27/2023 8:03:12 AM,5180
4210,2950    0961,092,Vacant-With Permit,749,ASPEN ST NW WASHINGTON DC 20012,DISTRICT OF COLUMBIA,0,0,0,141440,0,141440,141440,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,141440,141440,,,1/27/2023 8:03:12 AM,141440
4211,2146    0800,191,Vacant-True,3849,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,232860,0,232860,232860,0,232860,232860,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,232860,232860,,,1/27/2023 8:03:12 AM,232860
4212,0553    0109,091,Vacant-True,825,BROOKS CT NW WASHINGTON DC 20001,TRUXTON ALLEY LLC,51830,0,51830,55150,0,55150,52350,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,5000,2/9/2022 12:00:00 AM,2/9/2022 12:00:00 AM,52350,55150,,,1/27/2023 8:03:12 AM,52350
4213,5852    0010,091,Vacant-True,2388,21ST ST SE WASHINGTON DC 20020,"GRIFFIN, D",36680,0,36680,36680,0,36680,36680,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,36680,36680,"GRIFFIN, GENE V",38772,1/27/2023 8:03:12 AM,36680
4214,5279    0829,091,Vacant-True,4950,EAST CAPITOL ST SE WASHINGTON DC 20019,DISTRICT OF COLUMBIA HOUSING AUTHORITY,143200,0,143200,151570,0,151570,146820,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,146820,151570,EAST CAPITOL HOMEOWNERSHIP LLC,,1/27/2023 8:03:12 AM,146820
4215,5097    0811,093,Vacant-Zoning Limits,1731,SHERIFF RD NE WASHINGTON DC 20019,GOOD SUCCESS CHRISTIAN CHURCH AND MINISTRIES,8010,0,8010,8010,0,8010,8010,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,33750,3/15/2004 12:00:00 AM,3/15/2004 12:00:00 AM,8010,8010,,,1/27/2023 8:03:12 AM,8010
4216,5264    0035,093,Vacant-Zoning Limits,3080,59TH ST NE WASHINGTON DC 20019,"SMITH, OTEY G",10140,0,10140,10140,0,10140,10140,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,10/31/2014 12:00:00 AM,10/31/2014 12:00:00 AM,10140,10140,,,1/27/2023 8:03:12 AM,10140
4217,5849    0803,191,Vacant-True,47795,IRVING ST SE WASHINGTON DC 20020,UNITED STATES OF AMERICA,1634110,0,1634110,1634110,0,1634110,1634110,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1634110,1634110,,,1/27/2023 8:03:12 AM,1634110
4218,5300    0029,091,Vacant-True,4000,DRAKE PL SE WASHINGTON DC 20019,"WALKER, RUTH",52040,0,52040,52040,0,52040,52040,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,52040,52040,"WALKER, RILEY R",,1/27/2023 8:03:12 AM,52040
4219,RES 02320000,091,Vacant-True,7031,NORTH CAROLINA AVE SE WASHINGTON DC 20003,UNITED STATES OF AMERICA,399990,0,399990,399990,0,399990,399990,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,399990,399990,,,1/27/2023 8:03:12 AM,399990
4220,0754    0804,093,Vacant-Zoning Limits,168,NE WASHINGTON DC 00000,"ZIEGENFUSS, ALAN",6310,0,6310,6310,0,6310,6310,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,6310,6310,,,1/27/2023 8:03:12 AM,6310
4221,5861    0964,191,Vacant-True,1400,HOWARD RD SE WASHINGTON DC 20020,UNITED STATES OF AMERICA,100090,0,100090,100090,0,100090,100090,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,100090,100090,,,1/27/2023 8:03:12 AM,100090
4222,3351    0809,191,Vacant-True,529,EASTERN AVE NW WASHINGTON DC 20012,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),7870,0,7870,7870,0,7870,7870,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,7870,7870,,,1/27/2023 8:03:12 AM,7870
4223,PAR 01240168,195,Vacant-Commercial Use,4316,3RD ST NE WASHINGTON DC 20011,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),250670,0,250670,250670,0,250670,250670,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,250670,250670,,,1/27/2023 8:03:12 AM,250670
4224,2901    0028,191,Vacant-True,2976,9TH ST NW WASHINGTON DC 20010,UNITED STATES OF AMERICA,291680,0,291680,291680,0,291680,291680,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,291680,291680,,,1/27/2023 8:03:12 AM,291680
4225,5874    0057,091,Vacant-True,3781,2510 ELVANS RD SE WASHINGTON DC 20020,"DISTRICT PROPERTIES.COM, INC",147760,0,147760,155440,0,155440,151580,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,502000,9/8/2017 12:00:00 AM,9/8/2017 12:00:00 AM,151580,155440,,,1/27/2023 8:03:12 AM,151580
4226,0777    0878,093,Vacant-Zoning Limits,100,3RD ST NE WASHINGTON DC 20002,HILLCO INVESTMENT CORPORATION,1910,0,1910,1910,0,1910,1910,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,1910,1910,,,1/27/2023 8:03:12 AM,1910
4227,5194    0816,191,Vacant-True,14210,NANNIE HELEN BURROUGHS AVE NE WASHINGTON DC 20019,UNITED STATES OF AMERICA,562290,0,562290,562290,0,562290,562290,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,562290,562290,,,1/27/2023 8:03:12 AM,562290
4228,4540    0280,092,Vacant-With Permit,960,ROSEDALE ST NE WASHINGTON DC 20002,"SMITH, FRANCES M",342970,0,342970,382110,0,382110,354000,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,354000,382110,,,1/27/2023 8:03:12 AM,354000
4229,2950    0928,092,Vacant-With Permit,801,ASPEN ST NW WASHINGTON DC 20012,DISTRICT OF COLUMBIA,0,0,0,151260,0,151260,151260,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,151260,151260,,,1/27/2023 8:03:12 AM,151260
4230,5300    0036,091,Vacant-True,2000,5327 D ST SE WASHINGTON DC 20019-6128,VIGNESHA LLC,126380,0,126380,133560,0,133560,126920,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,160000,6/14/2021 12:00:00 AM,6/14/2021 12:00:00 AM,126920,133560,,315000,1/27/2023 8:03:12 AM,126920
4231,3712    0167,091,Vacant-True,2625,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,19920,0,19920,22940,0,22940,20610,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,20610,22940,,,1/27/2023 8:03:12 AM,20610
4232,0713    7004,192,Vacant-With Permit,0,1005 1ST ST NE WASHINGTON DC 20002-4208,1005 FIRST LLC,1378450,0,1378450,1378450,0,1378450,1378450,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1378450,1378450,,,1/27/2023 8:03:12 AM,1378450
4233,5251    0808,191,Vacant-True,537,NE WASHINGTON DC 00000,UNITED STATES OF AMERICA,21250,0,21250,21250,0,21250,21250,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,21250,21250,,,1/27/2023 8:03:12 AM,21250
4234,1359    0037,191,Vacant-True,6507,4640 CLARK PL NW WASHINGTON DC 20007,UNITED STATES OF AMERICA,1181020,0,1181020,1181020,0,1181020,1181020,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1181020,1181020,,,1/27/2023 8:03:12 AM,1181020
4235,5828    0019,091,Vacant-True,2850,1515 ERIE ST SE WASHINGTON DC 00000,DISTRICT PROPERTIES .COM INC,139510,0,139510,146520,0,146520,141590,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,8/3/2020 12:00:00 AM,8/3/2020 12:00:00 AM,141590,146520,,331446,1/27/2023 8:03:12 AM,141590
4236,0192    0827,096,Vacant-Unimproved Parking,2948,1517 R ST NW WASHINGTON DC 20009,CHASTLETON COOPERATIVE ASSOCIATION INC,1204750,2910,1207660,1253420,2910,1256330,1228840,2910,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,1231750,1256330,,,1/27/2023 8:03:12 AM,1231750
4237,1458    0009,092,Vacant-With Permit,8732,3901 52ND ST NW WASHINGTON DC 20016-1925,3901 52ND ST L.L.C.,0,0,0,864120,0,864120,503520,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,2500000,8/4/2021 12:00:00 AM,8/4/2021 12:00:00 AM,503520,864120,,269053,1/27/2023 8:03:12 AM,503520
4238,5145S   0018,091,Vacant-True,3000,48TH PL NE WASHINGTON DC 20019,DUD LLC,41010,0,41010,41010,0,41010,41010,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,185000,1/12/2011 12:00:00 AM,1/12/2011 12:00:00 AM,41010,41010,,332091,1/27/2023 8:03:12 AM,41010
